v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61
dom1a;dom2c;dom3a;dom4c;dom5a;dom6h;dom7a;dom8c;dom9a;dom10c;dom11b;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18b;dom19c;dom20c;dom21a;dom22a;dom23a;dom24b;dom25c;dom26c;dom27e;dom28a;dom29d;dom30a;dom31b;dom32a;dom33b;dom34b;dom35c;dom36c;dom37b;dom38b;dom39c;dom40c;dom41a;dom42b;dom43h;dom44a;dom45a;dom46b;dom47d;dom48c;dom49a;dom50b;dom51b;dom52a;dom53a;dom54a;dom55c;dom56b;dom57a;dom58a;dom59a;dom60b;dom61a
dom1a;dom2c;dom3a;dom4c;dom5a;dom6h;dom7a;dom8c;dom9a;dom10c;dom11b;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18b;dom19c;dom20c;dom21a;dom22a;dom23a;dom24b;dom25c;dom26c;dom27e;dom28a;dom29d;dom30a;dom31b;dom32a;dom33b;dom34b;dom35c;dom36c;dom37b;dom38b;dom39c;dom40c;dom41a;dom42b;dom43h;dom44a;dom45a;dom46b;dom47d;dom48c;dom49a;dom50b;dom51b;dom52a;dom53a;dom54a;dom55c;dom56b;dom57a;dom58a;dom59a;dom60b;dom61a
dom1a;dom2c;dom3a;dom4c;dom5a;dom6h;dom7a;dom8c;dom9a;dom10c;dom11b;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18b;dom19c;dom20c;dom21a;dom22a;dom23a;dom24b;dom25c;dom26c;dom27e;dom28a;dom29d;dom30a;dom31b;dom32a;dom33b;dom34b;dom35c;dom36c;dom37b;dom38b;dom39c;dom40c;dom41a;dom42b;dom43h;dom44a;dom45a;dom46b;dom47d;dom48c;dom49a;dom50b;dom51b;dom52a;dom53a;dom54a;dom55c;dom56b;dom57a;dom58a;dom59a;dom60b;dom61a
dom1c;dom2e;dom3a;dom4b;dom5a;dom6a;dom7a;dom8c;dom9a;dom10c;dom11a;dom12a;dom13a;dom14a;dom15b;dom16a;dom17a;dom18a;dom19b;dom20b;dom21a;dom22a;dom23a;dom24c;dom25a;dom26c;dom27a;dom28b;dom29c;dom30a;dom31a;dom32a;dom33a;dom34a;dom35a;dom36a;dom37a;dom38a;dom39a;dom40a;dom41a;dom42b;dom43a;dom44h;dom45b;dom46a;dom47a;dom48c;dom49a;dom50a;dom51c;dom52a;dom53a;dom54a;dom55a;dom56a;dom57a;dom58d;dom59a;dom60b;dom61a
dom1c;dom2e;dom3a;dom4b;dom5a;dom6a;dom7a;dom8c;dom9a;dom10c;dom11a;dom12a;dom13a;dom14a;dom15b;dom16a;dom17a;dom18a;dom19b;dom20b;dom21a;dom22a;dom23a;dom24c;dom25a;dom26c;dom27a;dom28b;dom29c;dom30a;dom31a;dom32a;dom33a;dom34a;dom35a;dom36a;dom37a;dom38a;dom39a;dom40a;dom41a;dom42b;dom43a;dom44h;dom45b;dom46a;dom47a;dom48c;dom49a;dom50a;dom51c;dom52a;dom53a;dom54a;dom55a;dom56a;dom57a;dom58d;dom59a;dom60b;dom61a
dom1a;dom2a;dom3a;dom4e;dom5b;dom6g;dom7c;dom8a;dom9a;dom10c;dom11a;dom12c;dom13c;dom14c;dom15b;dom16a;dom17a;dom18e;dom19c;dom20b;dom21c;dom22c;dom23a;dom24b;dom25a;dom26c;dom27b;dom28b;dom29c;dom30a;dom31b;dom32a;dom33a;dom34b;dom35b;dom36a;dom37b;dom38a;dom39c;dom40c;dom41c;dom42b;dom43d;dom44d;dom45a;dom46a;dom47d;dom48c;dom49a;dom50a;dom51c;dom52c;dom53a;dom54a;dom55c;dom56c;dom57a;dom58a;dom59b;dom60b;dom61a
dom1a;dom2f;dom3a;dom4d;dom5a;dom6c;dom7c;dom8a;dom9a;dom10b;dom11a;dom12b;dom13b;dom14b;dom15a;dom16a;dom17a;dom18a;dom19c;dom20a;dom21b;dom22b;dom23b;dom24b;dom25c;dom26c;dom27c;dom28a;dom29b;dom30a;dom31b;dom32a;dom33c;dom34b;dom35a;dom36c;dom37b;dom38c;dom39b;dom40b;dom41b;dom42d;dom43d;dom44c;dom45a;dom46a;dom47c;dom48c;dom49d;dom50b;dom51a;dom52a;dom53a;dom54c;dom55a;dom56a;dom57b;dom58a;dom59b;dom60b;dom61a
dom1a;dom2c;dom3a;dom4d;dom5a;dom6b;dom7c;dom8a;dom9a;dom10b;dom11b;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18b;dom19a;dom20d;dom21a;dom22a;dom23a;dom24c;dom25a;dom26b;dom27c;dom28a;dom29b;dom30a;dom31b;dom32a;dom33c;dom34b;dom35b;dom36c;dom37a;dom38c;dom39c;dom40c;dom41a;dom42e;dom43a;dom44b;dom45a;dom46b;dom47c;dom48c;dom49d;dom50b;dom51a;dom52a;dom53a;dom54e;dom55c;dom56a;dom57b;dom58a;dom59b;dom60b;dom61a
dom1c;dom2c;dom3a;dom4e;dom5b;dom6d;dom7c;dom8d;dom9a;dom10c;dom11a;dom12c;dom13c;dom14a;dom15b;dom16b;dom17b;dom18a;dom19a;dom20d;dom21a;dom22a;dom23a;dom24a;dom25c;dom26b;dom27d;dom28a;dom29a;dom30a;dom31a;dom32a;dom33c;dom34a;dom35a;dom36a;dom37a;dom38a;dom39c;dom40c;dom41a;dom42a;dom43a;dom44f;dom45a;dom46a;dom47a;dom48c;dom49d;dom50a;dom51c;dom52c;dom53a;dom54a;dom55b;dom56c;dom57b;dom58b;dom59b;dom60b;dom61a
dom1a;dom2a;dom3a;dom4e;dom5b;dom6g;dom7c;dom8a;dom9a;dom10c;dom11a;dom12c;dom13c;dom14c;dom15b;dom16a;dom17a;dom18e;dom19c;dom20b;dom21c;dom22c;dom23a;dom24b;dom25a;dom26c;dom27b;dom28b;dom29c;dom30a;dom31b;dom32a;dom33a;dom34b;dom35b;dom36a;dom37b;dom38a;dom39c;dom40c;dom41c;dom42b;dom43d;dom44d;dom45a;dom46b;dom47d;dom48c;dom49a;dom50a;dom51c;dom52c;dom53a;dom54a;dom55c;dom56c;dom57a;dom58c;dom59b;dom60b;dom61a
dom1c;dom2e;dom3a;dom4e;dom5b;dom6f;dom7c;dom8a;dom9a;dom10c;dom11b;dom12a;dom13a;dom14a;dom15b;dom16a;dom17a;dom18a;dom19d;dom20d;dom21a;dom22a;dom23a;dom24a;dom25b;dom26b;dom27c;dom28c;dom29a;dom30a;dom31b;dom32b;dom33a;dom34a;dom35a;dom36b;dom37b;dom38b;dom39a;dom40a;dom41a;dom42a;dom43a;dom44a;dom45b;dom46a;dom47a;dom48c;dom49d;dom50c;dom51b;dom52a;dom53a;dom54d;dom55c;dom56b;dom57b;dom58d;dom59b;dom60b;dom61a
dom1c;dom2c;dom3a;dom4d;dom5a;dom6c;dom7c;dom8a;dom9a;dom10a;dom11a;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18d;dom19d;dom20d;dom21a;dom22a;dom23a;dom24d;dom25b;dom26b;dom27d;dom28b;dom29c;dom30a;dom31b;dom32a;dom33a;dom34a;dom35a;dom36a;dom37c;dom38b;dom39c;dom40c;dom41a;dom42a;dom43c;dom44c;dom45b;dom46b;dom47d;dom48c;dom49d;dom50c;dom51b;dom52a;dom53a;dom54a;dom55b;dom56a;dom57a;dom58a;dom59a;dom60b;dom61b
dom1c;dom2c;dom3a;dom4d;dom5a;dom6c;dom7c;dom8a;dom9a;dom10a;dom11a;dom12c;dom13c;dom14a;dom15a;dom16a;dom17a;dom18d;dom19d;dom20d;dom21a;dom22a;dom23a;dom24d;dom25b;dom26b;dom27d;dom28b;dom29c;dom30a;dom31b;dom32a;dom33a;dom34a;dom35a;dom36a;dom37c;dom38b;dom39c;dom40c;dom41a;dom42a;dom43c;dom44c;dom45b;dom46b;dom47d;dom48c;dom49d;dom50c;dom51b;dom52a;dom53a;dom54a;dom55b;dom56a;dom57a;dom58a;dom59a;dom60b;dom61b
